doc_id,budget_year,fy_start,budget_type,fm_name,fm_party,fm_party_family,topic,prevalence,topic_num
Budget_Speech_2023-24,2023-24,2023,full,Nirmala Sitharaman,BJP,BJP,topic_7,1.3645559819003366e-5,7
Budget_Speech_2023-24,2023-24,2023,full,Nirmala Sitharaman,BJP,BJP,topic_8,6.0311982575997405e-5,8
Budget_Speech_2023-24,2023-24,2023,full,Nirmala Sitharaman,BJP,BJP,topic_9,0.9994460718720408,9
Budget_Speech_2023-24,2023-24,2023,full,Nirmala Sitharaman,BJP,BJP,topic_10,5.517931832906633e-5,10
bs198586,1985-86,1985,full,V.P. Singh,INC,INC,topic_1,8.502982808328323e-6,1
bs198586,1985-86,1985,full,V.P. Singh,INC,INC,topic_2,5.322785651212241e-4,2
bs198586,1985-86,1985,full,V.P. Singh,INC,INC,topic_3,6.061603544905726e-4,3
bs198586,1985-86,1985,full,V.P. Singh,INC,INC,topic_4,6.659032478526039e-4,4
bs198586,1985-86,1985,full,V.P. Singh,INC,INC,topic_5,0.9977732648888239,5
bs198586,1985-86,1985,full,V.P. Singh,INC,INC,topic_6,1.7418367682365472e-4,6
bs198586,1985-86,1985,full,V.P. Singh,INC,INC,topic_7,4.819007116683986e-5,7
bs198586,1985-86,1985,full,V.P. Singh,INC,INC,topic_8,1.7310423655427714e-5,8
bs198586,1985-86,1985,full,V.P. Singh,INC,INC,topic_9,2.6260298879322705e-5,9
bs198586,1985-86,1985,full,V.P. Singh,INC,INC,topic_10,1.4794549037801708e-4,10
bs199495,1994-95,1994,full,Manmohan Singh,INC,INC,topic_1,6.072759014575635e-4,1
bs199495,1994-95,1994,full,Manmohan Singh,INC,INC,topic_2,0.5722211980971004,2
bs199495,1994-95,1994,full,Manmohan Singh,INC,INC,topic_3,0.0013480060319103328,3
bs199495,1994-95,1994,full,Manmohan Singh,INC,INC,topic_4,1.51726551531964e-4,4
bs199495,1994-95,1994,full,Manmohan Singh,INC,INC,topic_5,0.11394316335222832,5
bs199495,1994-95,1994,full,Manmohan Singh,INC,INC,topic_6,0.22772835921108386,6
bs199495,1994-95,1994,full,Manmohan Singh,INC,INC,topic_7,0.02860308929052297,7
bs199495,1994-95,1994,full,Manmohan Singh,INC,INC,topic_8,6.518209787185024e-4,8
bs199495,1994-95,1994,full,Manmohan Singh,INC,INC,topic_9,3.8479297878798215e-4,9
